Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
8-18-11,HDFC,EQ,660.6,663,668.8,636,640,640.65,645.37,3248024,2.10E+14,43319,2113973,0.6508
8-19-11,HDFC,EQ,640.65,633.5,647.2,628.1,639,639.2,637.71,3775170,2.41E+14,36106,2374368,0.6289
8-22-11,HDFC,EQ,639.2,639.1,648.4,638.35,639.9,641.15,643.18,1506103,9.69E+13,24650,897862,0.5961
8-23-11,HDFC,EQ,641.15,646.5,650.9,631.55,646.8,645.85,641.57,2529652,1.62E+14,37472,1500311,0.5931
8-24-11,HDFC,EQ,645.85,640.2,657.5,640.2,646.6,646.3,647.71,3192592,2.07E+14,54197,1960218,0.614
8-25-11,HDFC,EQ,646.3,650.6,650.6,622.2,630.15,628.2,632.37,3750417,2.37E+14,47058,2251337,0.6003
8-26-11,HDFC,EQ,628.2,629.1,638.5,611.6,621.7,621.8,623.22,2819612,1.76E+14,50017,1746469,0.6194
8-29-11,HDFC,EQ,621.8,633,650.25,625.95,644.2,645.2,641.34,1500915,9.63E+13,27964,802177,0.5345
8-30-11,HDFC,EQ,645.2,650.65,667,650.15,662.9,662.65,659.48,2514141,1.66E+14,43526,1608020,0.6396
9-02-11,HDFC,EQ,662.65,682,685.75,653,661.35,660.95,663.76,3870461,2.57E+14,68476,2785042,0.7196
9-05-11,HDFC,EQ,660.95,658,659.85,641.6,651.2,650.05,646.36,3893585,2.52E+14,36564,3017620,0.775
9-06-11,HDFC,EQ,650.05,650,655.9,642.1,655.6,655.2,649.51,3259599,2.12E+14,66275,2256853,0.6924
9-07-11,HDFC,EQ,655.2,659.7,670.7,657.4,669,667.5,667.02,2961076,1.98E+14,39781,2259572,0.7631
9-08-11,HDFC,EQ,667.5,667.85,667.95,655.1,660.5,659.25,661.35,2199131,1.45E+14,25564,1465220,0.6663
9-09-11,HDFC,EQ,659.25,664.85,671.9,660,660.25,661.55,664.72,2815669,1.87E+14,30647,1934160,0.6869
9-12-11,HDFC,EQ,661.55,652.75,658.65,643,655.25,654.2,649.45,1975474,1.28E+14,27191,1300808,0.6585
9-13-11,HDFC,EQ,654.2,656.7,664.6,644.6,645.65,646.65,656.09,1702822,1.12E+14,21735,905839,0.532
9-14-11,HDFC,EQ,646.65,647,649.95,634.25,647.95,645.1,641.75,2328870,1.49E+14,51519,1368593,0.5877
9-15-11,HDFC,EQ,645.1,652.9,663.7,636.2,663,654.8,646.69,2213681,1.43E+14,41986,1367773,0.6179
9-16-11,HDFC,EQ,654.8,664,675,657.7,661.8,662.35,666.52,2418768,1.61E+14,44255,1245530,0.5149
9-19-11,HDFC,EQ,662.35,659.8,660.55,650.5,654,653,653.45,821719,5.37E+13,17997,436974,0.5318
9-20-11,HDFC,EQ,653,655.7,678,654.8,676,675.05,668.2,2103373,1.41E+14,37375,1349536,0.6416
9-21-11,HDFC,EQ,675.05,679.9,679.9,665.6,676,674.1,672.4,1161077,7.81E+13,23149,560647,0.4829
9-22-11,HDFC,EQ,674.1,664,669.9,641.1,646.4,643.5,654.75,1815085,1.19E+14,46271,834495,0.4598
9-23-11,HDFC,EQ,643.5,639,639,622.55,626,625,629.65,7087677,4.46E+14,75549,5285951,0.7458
9-26-11,HDFC,EQ,625,626.8,628.8,617.7,622.3,622.35,621.88,3553539,2.21E+14,58317,2606178,0.7334
9-27-11,HDFC,EQ,622.35,630.15,646.95,626.35,642,641.15,638.28,2974782,1.90E+14,56849,2036789,0.6847
9-28-11,HDFC,EQ,641.15,646.7,646.7,631.55,639.8,636.95,637.75,3877365,2.47E+14,47605,3026429,0.7805
9-29-11,HDFC,EQ,636.95,638.75,660,637,649,652.45,649.11,6773241,4.40E+14,75186,4509390,0.6658
9-30-11,HDFC,EQ,652.45,646.7,654.5,636.25,642,640.9,646.07,4413738,2.85E+14,80340,3422998,0.7755
10-03-11,HDFC,EQ,640.9,630.55,635.1,617.3,634.9,634.45,627.01,2607209,1.63E+14,53522,1879736,0.721
10-04-11,HDFC,EQ,634.45,629.35,634.75,617.5,619.05,620.8,625.95,2678250,1.68E+14,56892,1909114,0.7128
10-05-11,HDFC,EQ,620.8,622,640,618,618,624.95,630.41,2930759,1.85E+14,44083,1853150,0.6323
10-07-11,HDFC,EQ,624.95,640,655.55,636.7,645.85,645.4,649.13,3144918,2.04E+14,51314,2150144,0.6837
10-10-11,HDFC,EQ,645.4,643.2,666.65,643.2,665.85,662.55,658.77,1614355,1.06E+14,33288,940995,0.5829
10-11-11,HDFC,EQ,662.55,669.8,679,665,668,666.75,671.15,3005080,2.02E+14,41417,1827292,0.6081
10-12-11,HDFC,EQ,666.75,670,672.5,658,670.9,669.9,666.1,2270021,1.51E+14,44726,1367011,0.6022
10-13-11,HDFC,EQ,669.9,672,673.35,662.7,663.95,664.4,667.86,1461753,9.76E+13,35170,875173,0.5987
10-14-11,HDFC,EQ,664.4,661.9,669,659,666.95,666.8,663.47,1512907,1.00E+14,25119,878047,0.5804
10-17-11,HDFC,EQ,666.8,670.5,677.65,664.5,673.3,673.45,672.49,2443546,1.64E+14,35627,1203221,0.4924
10-18-11,HDFC,EQ,673.45,668.7,677.65,664.65,674.45,673.8,673.21,2323693,1.56E+14,26976,1650329,0.7102
10-19-11,HDFC,EQ,673.8,679.9,679.9,669.75,674.15,673.95,673.63,2981665,2.01E+14,39526,2293613,0.7692
10-20-11,HDFC,EQ,673.95,669.75,669.75,638.2,646.3,644.95,645.62,5542653,3.58E+14,70406,3492830,0.6302
10-21-11,HDFC,EQ,644.95,647,649.7,630,636.85,633.4,637.08,3474173,2.21E+14,65577,2188596,0.63
